Document Title,Authors,Journal,Publisher,DOI,name,Publication date,license,License link,set,category
Electrochromic solar water splitting using a cathodic WO3 electrocatalyst,Ilknur Bayrak Pehlivan;Gamze Atak;Gunnar A. Niklasson;Lars Stolt;Marika Edoff;Tomas Edvinsson,Nano Energy,Elsevier,10.1016/j.nanoen.2020.105620,electrolysis_01,18.11.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train3,electrolysis
Assembly of Pt Nanoparticles on Graphitized Carbon Nanofibers as Hierarchically Structured Electrodes,Nejc Hodnik;Luigi Romano;Primož Jovanovič;Francisco Ruiz-Zepeda;Marjan Bele;Filippo Fabbri;Luana Persano;Andrea Camposeo;Dario Pisignano,ACS Applied Nano Materials,American Chemical Society,10.1021/acsanm.0c01945,electrolysis_02,01.09.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,test,electrolysis
Highly efficient oxygen evolution reaction via facile bubble transport realized by three-dimensionally stack-printed catalysts,Ye Ji Kim;Ahyoun Lim;Jong Min Kim;Donghoon Lim;Keun Hwa Chae;Eugene N. Cho;Hyeuk Jin Han;Ki Ung Jeon;Moohyun Kim;Gun Ho Lee;Gyu Rac Lee;Hyun S. Ahn;Hyun S. Park;Hyoungsoo Kim;Jin Young Kim;Yeon Sik Jung,Nature Communications,Nature Publishing Group,10.1038/s41467-020-18686-0,electrolysis_03,01.10.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train2,electrolysis
Common-Ion Effect Triggered Highly Sustained Seawater Electrolysis with Additional NaCl Production,Pengsong Li;Shiyuan Wang;Imran Ahmed Samo;Xingheng Zhang;Zhaolei Wang;Cheng Wang;Yang Li;Yiyun Du;Yang Zhong;Congtian Cheng;Wenwen Xu;Xijun Liu;Yun Kuang;Zhiyi Lu;Xiaoming Sun,Research,AAAS,10.34133/2020/2872141,electrolysis_04,24.09.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,electrolysis
Facilely synthesized nitrogen-doped reduced graphene oxide functionalized with copper ions as electrocatalyst for oxygen reduction,Nadia Garino;Juqin Zeng;Micaela Castellino;Adriano Sacco;Francesca Risplendi;Michele Re Fiorentin;Katarzyna Bejtka;Angelica Chiodoni;Damien Salomon;Jaime Segura-Ruiz;Candido F. Pirri;Giancarlo Cicero,npj 2D Materials and Applications,Nature Publishing Group,10.1038/s41699-020-00185-x,graphene_01,04.01.2021,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train1,graphene
Direct Laser Writing of Transparent Polyimide Film for Supercapacitor,Fei Huang;Guoying Feng;Jiajia Yin;Sikun Zhou;Li Shen;Shutong Wang;Yun Luo,Nanomaterials,MDPI,10.3390/nano10122547,graphene_02,18.12.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,test,graphene
Grain boundary excess volume and defect annealing of copper after high-pressure torsion,Bernd Oberdorfer;Daria Setman;Eva-Maria Steyskal;Anton Hohenwarter;Wolfgang Sprengel;Michael Zehetbauer;Reinhard Pippan;Roland Würschum,Acta Materialia,Elsevier,10.1016/j.actamat.2013.12.036,oastm_01,21.02.2014,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train5,steel
Preparation and characterization of a dual-layer carbon film on 6H-SiC wafer using carbide-derived carbon process with subsequent chemical vapor deposition,Jian Sui;Xiufang Liu,Surface and Coatings Technology,Elsevier,10.1016/j.surfcoat.2013.08.005,oastm_02,13.08.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train4,semi
Halide doping effects on transparent conducting oxides formed by aerosol assisted chemical vapour deposition,Nuruzzaman Noor;Ivan P. Parkin,Thin Solid Films,Elsevier,10.1016/j.tsf.2012.10.110,oastm_03,20.11.2012,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train1,semi
The mechanical properties and toughening mechanisms of an epoxy polymer modified with polysiloxane-based core-shell particles,J. Chena;A. J. Kinloch;S. Sprenger;A. C. Taylor,Polymer,Elsevier,10.1016/j.polymer.2013.06.009,oastm_04,17.06.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train4,poly
Fabrication of calcium phosphate through electrospinning and sintering of hydroxyapatite nanoparticles,Pierre-Alexis Mouthuy;Alison Crossley;Hua Ye,Materials Letters,Elsevier,10.1016/j.matlet.2013.04.110,oastm_05,10.05.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train2,poly
Direct observation of solute-dislocation interaction on screw dislocation in a neutron irradiated modified 316 stainless steel using laser assisted 3DAP,M. Hatakeyama;S. Tamura;I. Yamagata,Materials Letters,Elsevier,10.1016/j.matlet.2014.01.109,oastm_06,25.01.2014,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train1,steel
The effects of particle morphology on the analysis of discrete particle dispersion using Delaunay tessellation,D. J. Bray;S. G. Gilmour;F. J. Guild;A. C. Taylor,Composites Part A: Applied Science and Manufacturing,Elsevier,10.1016/j.compositesa.2013.07.003,oastm_07,12.07.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train5,poly
The modelling of the toughening of epoxy polymers via silica nanoparticles The effects of volume fraction and particle size,D. J. Bray;P. Dittanet;F. J. Guild;A. J. Kinloch;K. Masania;R. A. Pearson;A. C. Taylor,Polymer,Elsevier,10.1016/j.polymer.2013.10.034,oastm_08,26.10.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train3,poly
"High performance inverted bulk heterojunction solar cells by incorporation of dense, thin ZnO layers made using atmospheric atomic layer deposition",Robert L.Z. Hoye;David Muñoz-Rojas;Diana C. Iza;Kevin P.Musselman;Judith L. MacManus-Driscoll,Solar Energy Materials and Solar Cells,Elsevier,10.1016/j.solmat.2013.04.020,oastm_09,06.06.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,dev,steel
Influences on the energy delivery of thin film photovoltaic modules,R. Gottschalg;T.R. Betts;A. Eeles;S.R. Williams;J. Zhu,Solar Energy Materials and Solar Cells,Elsevier,10.1016/j.solmat.2013.06.011,oastm_10,23.08.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train3,semi
Minority carries lifetime in silicon photovoltaics: The effect of oxygen precipitation,J.D. Murphy;R.E. McGuire;K. Bothe;V.V. Voronkov;R.J. Falster,Solar Energy Materials and Solar Cells,Elsevier,10.1016/j.solmat.2013.06.018,oastm_11,15.07.2013,CC-BY 3.0,https://creativecommons.org/licenses/by/3.0/legalcode,train5,semi
Preparation of High Performance and Ultra-Low Platinum Loading Membrane Electrode Assembly for PEMFC Commercial Application,Shengchu Liu;Shang Li;Ruyi Wang;Yan Rao;Qing Zhong;Kang Hong;Mu Pan,Journal of The Electrochemical Society,Electrochemical Society,10.1149/2.0151916jes,pemfc_02,12.12.2019,CC BY,https://creativecommons.org/licenses/by/4.0/legalcode,train1,pemfc
Ink Solvent Dependence of the Ionomer Distribution in the Catalyst Layer of a PEMFC,Alin Orfanidi;Philipp J. Rheinländer;Nicole Schulte;Hubert A. Gasteiger,Journal of The Electrochemical Society,Electrochemical Society,10.1149/2.1251814jes,pemfc_03,15.11.2018,CC BY,https://creativecommons.org/licenses/by/4.0/legalcode,test,pemfc
"Full Parametric Study of the Influence of Ionomer Content, Catalyst Loading and Catalyst Type on Oxygen and Ion Transport in PEM Fuel Cell Catalyst Layers",Robert Alink;Rajveer Singh;Patrick Schneider;Kläre Christmann;Johannes Schall;Roman Keding;Nada Zamel,Molecules,MDPI,10.3390/molecules25071523,pemfc_04,27.03.2020,CC BY,https://creativecommons.org/licenses/by/4.0/legalcode,train2,pemfc
"Effects of carbon supports on Pt distribution, ionomer coverage and cathode performance for polymer electrolyte fuel cells",Young-Chul Park;Haruki Tokiwa;Katsuyoshi Kakinuma;Masahiro Watanabe;Makoto Uchida,Journal of Power Sources,Elsevier,10.1016/j.jpowsour.2016.02.091,pemfc_07,21.03.2016,CC BY,https://creativecommons.org/licenses/by/4.0/legalcode,train5,pemfc
Applicability of double layer capacitance measurements to monitor local temperature changes at polymer electrolyte membrane fuel cell cathodes,Jarek P. Sabawa;Aliaksandr S. Bandarenka,Results in Chemistry,Elsevier,10.1016/j.rechem.2020.100078,pemfc_08,02.11.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train2,pemfc
Electron and proton conductivity of Fe-N-C cathodes for PEM fuel cells: A model-based electrochemical impedance spectroscopy measurement,Tatyana Reshetenko;Alexey Serov;Madeleine Odgaard;Günter Randolf;Luigi Osmieri;Andrei Kulikovsky,Electrochemistry Communications,Elsevier,10.1016/j.elecom.2020.106795,pemfc_10,24.07.2020,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,train4,pemfc
Performance hysteresis phenomena of anion exchange membrane fuel cells using an Fe–N–C cathode catalyst and an in-house-developed polymer electrolyte,Kanji Otsuji;Naoki Yokota;Donald A. Tryk;Katsuyoshi Kakinuma;Kenji Miyatake;Makoto Uchida,Journal of Power Sources,Elsevier,10.1016/j.jpowsour.2020.229407,pemfc_13,06.01.2021,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,dev,pemfc
